Pick #,Tier,Pokemon,Tera Type,Trainer,Team,Abbv,Column 16,Column 14,Option 1,Type 1,Option 2,Type 2,Option 3,Type 3,Option 4,Type 4,Option 5,Type 5,Option 6,Type 6,Option 7,Type 7,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
1,A,Hoopa-U,,Miradiongaming,Team 2,2.0,,,M-Alakazam,,M-Blastoise,,Hoopa-U,,M-Pinsir,,,,,,,,,,,,,,,,,,
2,S,Genesect,,Mr. Whale,Team 13,13.0,,,Giratina-O,,Genesect,,Dialga-O,,,,,,,,,,,,,,,,,,,,
3,A,Ursaluna,,morgie,Team 4,4.0,,,Goodra-H,,Ursaluna,,Basculegion,,Glastrier,,,,,,,,,,,,,,,,,,
4,S,Annihilape,,Jihoonaah,Team 6,6.0,,,Annihilape,,Raging Bolt,,Rayquaza,,,,,,,,,,,,,,,,,,,,
5,S,M-Salamence,,verycoolman,Team 11,11.0,,,M-Salamence,,Zygarde-50,,M-Diancie,,,,,,,,,,,,,,,,,,,,
6,A,M-Gyarados,,Jalapinecone,Team 3,3.0,,,M-Gyarados,,Grimmsnarl,,Suicune,,Enamorus-I,,,,,,,,,,,,,,,,,,
7,A,Chien-Pao,,Mathgeek,Team 10,10.0,,,Chien-Pao,,Enamorus-I,,Iron Moth,,Naganadel,,,,,,,,,,,,,,,,,,
8,S,Marshadow,,CAMKART100,Team 5,5.0,,,Marshadow,,Dialga-O,,Tapu Fini,,,,,,,,,,,,,,,,,,,,
9,A,Sneasler,,Be. de,Team 14,14.0,,,Sneasler,,Zeraora,,Dracovish,,Spectrier,,,,,,,,,,,,,,,,,,
10,S,Incineroar,,fruitlogic,Team 7,7.0,,,Landorus-T,,Incineroar,,Rillaboom,,,,,,,,,,,,,,,,,,,,
11,A*,,,hoZer,Team 1,1.0,,,Diancie,,Necrozma,,Zapdos,,Ferrothorn,,,,,,,,,,,,,,,,,,
12,A,M-Lopunny,,Burndt,Team 8,8.0,,,Ogerpon,,Goodra-H,,M-Lopunny,,Necrozma,,,,,,,,,,,,,,,,,,
13,A,Tornadus-I,,Benbo,Team 9,9.0,,,Ogerpon,,Buzzwole,,Hatterene,,Tornadus-I,,,,,,,,,,,,,,,,,,
14,A,Great Tusk,,MonkeyRanger,Team 12,12.0,,,Great Tusk,,Glastrier,,Kartana,,Kingambit,,,,,,,,,,,,,,,,,,
15,S,Tapu Fini,,MonkeyRanger,Team 12,12.0,,,Mew,,Dialga-O,,Tapu Fini,,,,,,,,,,,,,,,,,,,,
16,S,Chi-Yu,,Benbo,Team 9,9.0,,,Dialga-O,,Chi-Yu,,Urshifu-R,,,,,,,,,,,,,,,,,,,,
17,A,Scream Tail,,Burndt,Team 8,8.0,,,Ogerpon,,Scream Tail,,M-Blastoise,,Dragapult,,,,,,,,,,,,,,,,,,
18,S,Ursaluna-B,,hoZer,Team 1,1.0,,,Gouging Fire,,Ursaluna-B,,Rayquaza,,,,,,,,,,,,,,,,,,,,
19,C,Lurantis,Fairy,fruitlogic,Team 7,7.0,,,Typhlosion,Dark,Hoopa-C,Steel,Noivern,Ground,Quagsire,Steel,Houndoom,Ice,Turtonator,Dark,Lurantis,Fairy,,,,,,,,,,,
20,S,Celesteela,,Be. de,Team 14,14.0,,,Darkrai,,Celesteela,,Tapu Lele,,,,,,,,,,,,,,,,,,,,
21,C,Sneasel-H,Grass,CAMKART100,Team 5,5.0,,,Sneasel-H,Grass,Veluza,Ground,Regigigas,Normal,Huntail,Fire,Ursaring,Rock,Wugtrio,Water,Ninetales,Ice,,,,,,,,,,,
22,B,Talonflame,,Mathgeek,Team 10,10.0,,,M-Manectric,,M-Gallade,,Talonflame,,Hippowdon,,Iron Jugulis,,,,,,,,,,,,,,,,
23,S*,,,Jalapinecone,Team 3,3.0,,,Dialga-O,,M-Diancie,,Shaymin-S,,,,,,,,,,,,,,,,,,,,
24,A,Amoonguss,,verycoolman,Team 11,11.0,,,Amoonguss,,Thundurus-T,,M-Mawile,,Kyurem,,,,,,,,,,,,,,,,,,
25,A,Heatran,,Jihoonaah,Team 6,6.0,,,Heatran,,Grimmsnarl,,Indeedee-F,,M-Alakazam,,,,,,,,,,,,,,,,,,
26,S,Raging Bolt,,morgie,Team 4,4.0,,,Cresselia,,Raging Bolt,,Giratina-O,,,,,,,,,,,,,,,,,,,,
27,B,Farigiraf,,Mr. Whale,Team 13,13.0,,,Blastoise,,Munkidori,,Espeon,,Farigiraf,,Espathra,,,,,,,,,,,,,,,,
28,S,Tapu Lele,,Miradiongaming,Team 2,2.0,,,Tapu Lele,,Zygarde-50,,Zekrom,,,,,,,,,,,,,,,,,,,,
