Dex,Pokemon,Type Icon I,Type Icon II,Sprite,Raw (Showdown),Image,Raw (Serebii),Current Team,Current Trainer,Tier,Games GP,W,L,WR,KDA K,D,+/-,Damage Dmg Dealt,Dmg Taken,Dmg Diff,Dmg Ratio,Column 103,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Season 1 Team,Exceptions,Exception Only,Column 78,Mold Breaker Weaknesses Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy,Column 77,Weaknesses + Only Unoptional Exceptions Normal1,Fire1,Water1,Electric1,Grass1,Ice1,Fighting1,Poison1,Ground1,Flying1,Psychic1,Bug1,Rock1,Ghost1,Dragon1,Dark1,Steel1,Fairy1,Column 98,Weaknesses + All Exceptions Normal2,Fire2,Water2,Electric2,Grass2,Ice2,Fighting2,Poison2,Ground2,Flying2,Psychic2,Bug2,Rock2,Ghost2,Dragon2,Dark2,Steel2,Fairy2,Column 79,Showdown Gen 5 Link,Serebii New,Serebii Link,Raw (Pokemon DB),DBLink,Backup DBLink,Blank
1,Bulbasaur,,,,bulbasaur,,001,,,Z,,,,,,,,,,,,,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,,0,-2,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/bulbasaur.png,https://www.serebii.net/scarletviolet/pokemon/new/001.png,https://www.serebii.net/pokemon/art/001.png,bulbasaur,https://img.pokemondb.net/artwork/large/bulbasaur.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/bulbasaur.png,
2,Ivysaur,,,,ivysaur,,002,,,Z,,,,,,,,,,,,,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,,0,-2,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/ivysaur.png,https://www.serebii.net/scarletviolet/pokemon/new/002.png,https://www.serebii.net/pokemon/art/002.png,ivysaur,https://img.pokemondb.net/artwork/large/ivysaur.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/ivysaur.png,
3,M-Venusaur,,,,venusaur-mega,,003-m,,,A,,,,,,,,,,,,,80,100,123,122,120,80,625,Grass,Poison,Thick Fat,,,,1,0,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/venusaur-mega.png,https://www.serebii.net/scarletviolet/pokemon/new/003-m.png,https://www.serebii.net/pokemon/art/003-m.png,venusaur-mega,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/venusaur-mega.png,
3,Venusaur,,,,venusaur,,003,Team 12,MonkeyRanger,B,,,,,,,,,,,,,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,Team 12,0,-2,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/venusaur.png,https://www.serebii.net/scarletviolet/pokemon/new/003.png,https://www.serebii.net/pokemon/art/003.png,venusaur,https://img.pokemondb.net/artwork/large/venusaur.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/venusaur.png,
4,Charmander,,,,charmander,,004,,,Z,,,,,,,,,,,,,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,,0,-2,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/charmander.png,https://www.serebii.net/scarletviolet/pokemon/new/004.png,https://www.serebii.net/pokemon/art/004.png,charmander,https://img.pokemondb.net/artwork/large/charmander.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/charmander.png,
5,Charmeleon,,,,charmeleon,,005,,,Z,,,,,,,,,,,,,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,,0,-2,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/charmeleon.png,https://www.serebii.net/scarletviolet/pokemon/new/005.png,https://www.serebii.net/pokemon/art/005.png,charmeleon,https://img.pokemondb.net/artwork/large/charmeleon.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/charmeleon.png,
6,M-Charizard-X,,,,charizard-megax,,006-mx,,,A,,,,,,,,,,,,,78,130,111,130,85,100,634,Fire,Dragon,Tough Claws,,,,0,-1,,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/charizard-megax.png,https://www.serebii.net/scarletviolet/pokemon/new/006-mx.png,https://www.serebii.net/pokemon/art/006-mx.png,charizard-mega-x,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/charizard-mega-x.png,
6,M-Charizard-Y,,,,charizard-megay,,006-my,,,S,,,,,,,,,,,,,78,104,78,159,115,100,634,Fire,Flying,Drought,,,,0,-1,,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/charizard-megay.png,https://www.serebii.net/scarletviolet/pokemon/new/006-my.png,https://www.serebii.net/pokemon/art/006-my.png,charizard-mega-y,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/charizard-mega-y.png,
6,Charizard,,,,charizard,,006,,,C,,,,,,,,,,,,,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,,0,-2,,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/charizard.png,https://www.serebii.net/scarletviolet/pokemon/new/006.png,https://www.serebii.net/pokemon/art/006.png,charizard,https://img.pokemondb.net/artwork/large/charizard.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/charizard.png,
7,Squirtle,,,,squirtle,,007,,,Z,,,,,,,,,,,,,44,48,65,50,64,43,314,Water,,Torrent,,Rain Dish,,0,-2,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,https://play.pokemonshowdown.com/sprites/gen5/squirtle.png,https://www.serebii.net/scarletviolet/pokemon/new/007.png,https://www.serebii.net/pokemon/art/007.png,squirtle,https://img.pokemondb.net/artwork/large/squirtle.jpg,https://img.pokemondb.net/sprites/scarlet-violet/normal/squirtle.png,
